category,question,answer,processed_question,processed_answer
frequency,how common is botulism?,"In the United States, an average of 145 cases are reported each year.Of these, approximately 15% are foodborne, 65% are infant botulism, and 20% are wound. Adult intestinal colonization and iatrogenic botulism also occur, but rarely. Outbreaks of foodborne botulism involving two or more persons occur most years and are usually caused by home-canned foods. Most wound botulism cases are associated with black-tar heroin injection, especially in California.",common botulism,united state average case reported year approximately foodborne infant botulism wound adult intestinal colonization iatrogenic botulism also occur rarely outbreak foodborne botulism involving two person occur year usually caused home canned food wound botulism case associated black tar heroin injection especially california
symptoms,what are the symptoms of botulism?,"The classic symptoms of botulism include double vision, blurred vision, drooping eyelids, slurred speech, difficulty swallowing, dry mouth, and muscle weakness. Infants with botulism appear lethargic, feed poorly, are constipated, and have a weak cry and poor muscle tone. These are all symptoms of the muscle paralysis caused by the bacterial toxin. If untreated, these symptoms may progress to cause paralysis of the respiratory muscles, arms, legs, and trunk. In foodborne botulism, symptoms generally begin 18 to 36 hours after eating a contaminated food, but they can occur as early as 6 hours or as late as 10 days.",symptom botulism,classic symptom botulism include double vision blurred vision drooping eyelid slurred speech difficulty swallowing dry mouth muscle weakness infant botulism appear lethargic feed poorly constipated weak cry poor muscle tone symptom muscle paralysis caused bacterial toxin untreated symptom may progress cause paralysis respiratory muscle arm leg trunk foodborne botulism symptom generally begin hour eating contaminated food occur early hour late day
exams and tests,how is botulism diagnosed?,"Physicians may consider the diagnosis if the patient's history and physical examination suggest botulism. However, these clues are usually not enough to allow a diagnosis of botulism. Other diseases such as Guillain-Barré syndrome, stroke, and myasthenia gravis can appear similar to botulism, and special tests may be needed to exclude these other conditions. These tests may include a brain scan, spinal fluid examination, nerve conduction test (electromyography, or EMG), and a tensilon test for myasthenia gravis. Tests for botulinum toxin and for bacteria that cause botulism can be performed at some state health department laboratories and at CDC.",botulism diagnosed,physician may consider diagnosis patient history physical examination suggest botulism however clue usually enough allow diagnosis botulism disease guillain barr syndrome stroke myasthenia gravis appear similar botulism special test may needed exclude condition test may include brain scan spinal fluid examination nerve conduction test electromyography emg tensilon test myasthenia gravis test botulinum toxin bacteria cause botulism performed state health department laboratory cdc
treatment,how can botulism be treated?,"The respiratory failure and paralysis that occur with severe botulism may require a patient to be on a breathing machine (ventilator) for weeks or months, plus intensive medical and nursing care. The paralysis slowly improves. Botulism can be treated with an antitoxin which blocks the action of toxin circulating in the blood. Antitoxin for infants is available from the California Department of Public Health, and antitoxin for older children and adults is available through CDC.If given before paralysis is complete, antitoxin can prevent worsening and shorten recovery time. Physicians may try to remove contaminated food still in the gut by inducing vomiting or by using enemas. Wounds should be treated, usually surgically, to remove the source of the toxin-producing bacteria followed by administration of appropriate antibiotics. Good supportive care in a hospital is the mainstay of therapy for all forms of botulism.",botulism treated,respiratory failure paralysis occur severe botulism may require patient breathing machine ventilator week month plus intensive medical nursing care paralysis slowly improves botulism treated antitoxin block action toxin circulating blood antitoxin infant available california department public health antitoxin older child adult available cdc given paralysis complete antitoxin prevent worsening shorten recovery time physician may try remove contaminated food still gut inducing vomiting using enema wound treated usually surgically remove source toxin producing bacteria followed administration appropriate antibiotic good supportive care hospital mainstay therapy form botulism
complications,are there complications from botulism?,"Botulism can result in death due to respiratory failure. However, in the past 50 years the proportion of patients with botulism who die has fallen from about 50% to 3-5%. A patient with severe botulism may require a breathing machine as well as intensive medical and nursing care for several months, and some patients die from infections or other problems related to remaining paralyzed for weeks or months. Patients who survive an episode of botulism poisoning may have fatigue and shortness of breath for years and long-term therapy may be needed to aid recovery.",complication botulism,botulism result death due respiratory failure however past year proportion patient botulism die fallen patient severe botulism may require breathing machine well intensive medical nursing care several month patient die infection problem related remaining paralyzed week month patient survive episode botulism poisoning may fatigue shortness breath year long term therapy may needed aid recovery
prevention,how can botulism be prevented?,"Many cases of botulism are preventable. Foodborne botulism has often been from home-canned foods with low acid content, such as asparagus, green beans, beets and corn and is caused by failure to follow proper canning methods. However, seemingly unlikely or unusual sources are found every decade, with the common problem of improper handling during manufacture, at retail, or by consumers; some examples are chopped garlic in oil, canned cheese sauce, chile peppers, tomatoes, carrot juice, and baked potatoes wrapped in foil. In Alaska, foodborne botulism is caused by fermented fish and other aquatic game foods. Persons who do home canning should follow strict hygienic procedures to reduce contamination of foods, and carefully follow instructions on safe home canning including the use of pressure canners/cookers as recommended through county extension services or from the US Department of Agriculture. Oils infused with garlic or herbs should be refrigerated. Potatoes which have been baked while wrapped in aluminum foil should be kept hot until served or refrigerated. Because the botulinum toxin is destroyed by high temperatures, persons who eat home-canned foods should consider boiling the food for 10 minutes before eating it to ensure safety. Wound botulism can be prevented by promptly seeking medical care for infected wounds and by not using injectable street drugs. Most infant botulism cases cannot be prevented because the bacteria that causes this disease is in soil and dust.  The bacteria can be found inside homes on floors, carpet, and countertops even after cleaning.  Honey can contain the bacteria that causes infant botulism so, children less than 12 months old should not be fed honey. Honey is safe for persons 1 year of age and older.",botulism prevented,many case botulism preventable foodborne botulism often home canned food low acid content asparagus green bean beet corn caused failure follow proper canning method however seemingly unlikely unusual source found every decade common problem improper handling manufacture retail consumer example chopped garlic oil canned cheese sauce chile pepper tomato carrot juice baked potato wrapped foil alaska foodborne botulism caused fermented fish aquatic game food person home canning follow strict hygienic procedure reduce contamination food carefully follow instruction safe home canning including use pressure canners cooker recommended county extension service department agriculture oil infused garlic herb refrigerated potato baked wrapped aluminum foil kept hot served refrigerated botulinum toxin destroyed high temperature person eat home canned food consider boiling food minute eating ensure safety wound botulism prevented promptly seeking medical care infected wound using injectable street drug infant botulism case prevented bacteria cause disease soil dust bacteria found inside home floor carpet countertop even cleaning honey contain bacteria cause infant botulism child less month old fed honey honey safe person year age older
prevention,what are public health agencies doing to prevent or control botulism?,"Public education about botulism prevention is an ongoing activity. Information about safe canning is widely available for consumers. Persons in state health departments and at CDC are knowledgeable about botulism and available to consult with physicians 24 hours a day. If antitoxin is needed to treat a patient, it can be quickly delivered to a physician anywhere in the country. Suspected outbreaks of botulism are quickly investigated, and if they involve a commercial product, the appropriate control measures are coordinated among public health and regulatory agencies. Physicians should immediately report suspected cases of botulism to their state health department.
                
For information and quidelines on canning foods at home: USDA Home Canning Guide",public health agency prevent control botulism,public education botulism prevention ongoing activity information safe canning widely available consumer person state health department cdc knowledgeable botulism available consult physician hour day antitoxin needed treat patient quickly delivered physician anywhere country suspected outbreak botulism quickly investigated involve commercial product appropriate control measure coordinated among public health regulatory agency physician immediately report suspected case botulism state health department information quidelines canning food home usda home canning guide
susceptibility,Who is at risk for Marburg hemorrhagic fever (Marburg HF)? ?,"It is unknown how Marburg virus first transmits from its animal host to humans; however, for the 2 cases in tourists visiting Uganda in 2008, unprotected contact with infected bat feces or aerosols are the most likely routes of infection. 
  
After this initial crossover of virus from host animal to humans, transmission occurs through person-to-person contact. This may happen in several ways: direct contact to droplets of body fluids from infected persons, or contact with equipment and other objects contaminated with infectious blood or tissues. 
  
In previous outbreaks, persons who have handled infected non-human primates or have come in direct contact with their fluids or cell cultures have become infected. Spread of the virus between humans has occurred in close environments and direct contacts. A common example is through caregivers in the home or in a hospital (nosocomial transmission).",risk marburg hemorrhagic fever marburg,unknown marburg virus first transmits animal host human however case tourist visiting uganda unprotected contact infected bat feces aerosol likely route infection initial crossover virus host animal human transmission occurs person person contact may happen several way direct contact droplet body fluid infected person contact equipment object contaminated infectious blood tissue previous outbreak person handled infected non human primate come direct contact fluid cell culture become infected spread virus human occurred close environment direct contact common example caregiver home hospital nosocomial transmission
symptoms,What are the symptoms of Marburg hemorrhagic fever (Marburg HF) ?,"After an incubation period of 5-10 days, symptom onset is sudden and marked by fever, chills, headache, and myalgia. Around the fifth day after the onset of symptoms, a maculopapular rash, most prominent on the trunk (chest, back, stomach), may occur. Nausea, vomiting, chest pain, a sore throat, abdominal pain, and diarrhea may then appear. Symptoms become increasingly severe and can include jaundice, inflammation of the pancreas, severe weight loss, delirium, shock, liver failure, massive hemorrhaging, and multi-organ dysfunction. 
 
Because many of the signs and symptoms of Marburg hemorrhagic fever are similar to those of other infectious diseases such as malaria or typhoid fever, clinical diagnosis of the disease can be difficult, especially if only a single case is involved. 
 
The case-fatality rate for Marburg hemorrhagic fever is between 23-90%. For a complete listing of the case fatality rates for previous outbreaks, please see the History of Outbreaks table",symptom marburg hemorrhagic fever marburg,incubation period day symptom onset sudden marked fever chill headache myalgia around fifth day onset symptom maculopapular rash prominent trunk chest back stomach may occur nausea vomiting chest pain sore throat abdominal pain diarrhea may appear symptom become increasingly severe include jaundice inflammation pancreas severe weight loss delirium shock liver failure massive hemorrhaging multi organ dysfunction many sign symptom marburg hemorrhagic fever similar infectious disease malaria typhoid fever clinical diagnosis disease difficult especially single case involved case fatality rate marburg hemorrhagic fever complete listing case fatality rate previous outbreak please see history outbreak table
susceptibility,Who is at risk for Marburg hemorrhagic fever (Marburg HF)? ?,"People who have close contact with African fruit bats, humans patients, or non-human primates infected with Marburg virus are at risk. 
                
Historically, the people at highest risk include family members and hospital staff who care for patients infected with Marburg virus and have not used proper barrier nursing techniques. Particular occupations, such as veterinarians and laboratory or quarantine facility workers who handle non-human primates from Africa, may also be at increased risk of exposure to Marburg virus. 
                
Exposure risk can be higher for travelers visiting endemic regions in Africa, including Uganda and other parts of central Africa, and have contact with fruit bats, or enter caves or mines inhabited by fruit bats.",risk marburg hemorrhagic fever marburg,people close contact african fruit bat human patient non human primate infected marburg virus risk historically people highest risk include family member hospital staff care patient infected marburg virus used proper barrier nursing technique particular occupation veterinarian laboratory quarantine facility worker handle non human primate africa may also increased risk exposure marburg virus exposure risk higher traveler visiting endemic region africa including uganda part central africa contact fruit bat enter cave mine inhabited fruit bat
exams and tests,How to diagnose Marburg hemorrhagic fever (Marburg HF) ?,"Many of the signs and symptoms of Marburg hemorrhagic fever are similar to those of other more frequent infectious diseases, such as malaria or typhoid fever, making diagnosis of the disease difficult. This is especially true if only a single case is involved. 
 
However, if a person has the early symptoms of Marburg HF and there is reason to believe that Marburg HF should be considered, the patient should be isolated and public health professionals notified. Samples from the patient can then be collected and tested to confirm infection. 
 
Antigen-capture enzyme-linked immunosorbent assay (ELISA) testing, polymerase chain reaction (PCR), and IgM-capture ELISA can be used to confirm a case of Marburg HF within a few days of symptom onset. Virus isolation may also be performed but should only be done in a high containment laboratory with good laboratory practices. The IgG-capture ELISA is appropriate for testing persons later in the course of disease or after recovery. In deceased patients, immunohistochemistry, virus isolation, or PCR of blood or tissue specimens may be used to diagnose Marburg HF retrospectively.",diagnose marburg hemorrhagic fever marburg,many sign symptom marburg hemorrhagic fever similar frequent infectious disease malaria typhoid fever making diagnosis disease difficult especially true single case involved however person early symptom marburg reason believe marburg considered patient isolated public health professional notified sample patient collected tested confirm infection antigen capture enzyme linked immunosorbent assay elisa testing polymerase chain reaction pcr igm capture elisa used confirm case marburg within day symptom onset virus isolation may also performed done high containment laboratory good laboratory practice igg capture elisa appropriate testing person later course disease recovery deceased patient immunohistochemistry virus isolation pcr blood tissue specimen may used diagnose marburg retrospectively
treatment,What are the treatments for Marburg hemorrhagic fever (Marburg HF) ?,"There is no specific treatment for Marburg hemorrhagic fever. Supportive hospital therapy should be utilized, which includes balancing the patient's fluids and electrolytes, maintaining oxygen status and blood pressure, replacing lost blood and clotting factors, and treatment for any complicating infections. 
 
Experimental treatments are validated in non-human primates models, but have never been tried in humans.",treatment marburg hemorrhagic fever marburg,specific treatment marburg hemorrhagic fever supportive hospital therapy utilized includes balancing patient fluid electrolyte maintaining oxygen status blood pressure replacing lost blood clotting factor treatment complicating infection experimental treatment validated non human primate model never tried human
prevention,How to prevent Marburg hemorrhagic fever (Marburg HF) ?,"Preventive measures against Marburg virus infection are not well defined, as transmission from wildlife to humans remains an area of ongoing research. However, avoiding fruit bats, and sick non-human primates in central Africa, is one way to protect against infection. 
 
Measures for prevention of secondary, or person-to-person, transmission are similar to those used for other hemorrhagic fevers. If a patient is either suspected or confirmed to have Marburg hemorrhagic fever, barrier nursing techniques should be used to prevent direct physical contact with the patient. These precautions include wearing of protective gowns, gloves, and masks; placing the infected individual in strict isolation; and sterilization or proper disposal of needles, equipment, and patient excretions. 
 
In conjunction with the World Health Organization, CDC has developed practical, hospital-based guidelines, titled: Infection Control for Viral Haemorrhagic Fevers In the African Health Care Setting. The manual can help health-care facilities recognize cases and prevent further hospital-based disease transmission using locally available materials and few financial resources. 
 
Marburg hemorrhagic fever is a very rare human disease. However, when it occurs, it has the potential to spread to other people, especially health care staff and family members who care for the patient. Therefore, increasing awareness in communities and among health-care providers of the clinical symptoms of patients with Marburg hemorrhagic fever is critical. Better awareness can lead to earlier and stronger precautions against the spread of Marburg virus in both family members and health-care providers. Improving the use of diagnostic tools is another priority. With modern means of transportation that give access even to remote areas, it is possible to obtain rapid testing of samples in disease control centers equipped with Biosafety Level 4 laboratories in order to confirm or rule out Marburg virus infection.",prevent marburg hemorrhagic fever marburg,preventive measure marburg virus infection well defined transmission wildlife human remains area ongoing research however avoiding fruit bat sick non human primate central africa one way protect infection measure prevention secondary person person transmission similar used hemorrhagic fever patient either suspected confirmed marburg hemorrhagic fever barrier nursing technique used prevent direct physical contact patient precaution include wearing protective gown glove mask placing infected individual strict isolation sterilization proper disposal needle equipment patient excretion conjunction world health organization cdc developed practical hospital based guideline titled infection control viral haemorrhagic fever african health care setting manual help health care facility recognize case prevent hospital based disease transmission using locally available material financial resource marburg hemorrhagic fever rare human disease however occurs potential spread people especially health care staff family member care patient therefore increasing awareness community among health care provider clinical symptom patient marburg hemorrhagic fever critical better awareness lead earlier stronger precaution spread marburg virus family member health care provider improving use diagnostic tool another priority modern mean transportation give access even remote area possible obtain rapid testing sample disease control center equipped biosafety level laboratory order confirm rule marburg virus infection
information,What is (are) Parasites - Leishmaniasis ?,"Leishmaniasis is a parasitic disease that is found in parts of the tropics, subtropics, and southern Europe. Leishmaniasis is caused by infection with Leishmania parasites, which are spread by the bite of infected sand flies. There are several different forms of leishmaniasis in people. The most common forms are cutaneous leishmaniasis, which causes skin sores, and visceral leishmaniasis, which affects several internal organs (usually spleen, liver, and bone marrow).",parasite leishmaniasis,leishmaniasis parasitic disease found part tropic subtropics southern europe leishmaniasis caused infection leishmania parasite spread bite infected sand fly several different form leishmaniasis people common form cutaneous leishmaniasis cause skin sore visceral leishmaniasis affect several internal organ usually spleen liver bone marrow
susceptibility,Who is at risk for Parasites - Leishmaniasis? ?,"Leishmaniasis is found in people in focal areas of more than 90 countries in the tropics, subtropics, and southern Europe. The ecologic settings range from rain forests to deserts. Leishmaniasis usually is more common in rural than in urban areas, but it is found in the outskirts of some cities. Climate and other environmental changes have the potential to expand the geographic range of the sand fly vectors and the areas in the world where leishmaniasis is found.
    
Leishmaniasis is found on every continent except Australia and Antarctica.
    
     - In the Old World (the Eastern Hemisphere), leishmaniasis is found in some parts of Asia, the Middle East, Africa (particularly in the tropical region and North Africa, with some cases elsewhere), and southern Europe. It is not found in Australia or the Pacific islands.
     - In the New World (the Western Hemisphere), it is found in some parts of Mexico, Central America, and South America. It is not found in Chile or Uruguay. Occasional cases of cutaneous leishmaniasis have been acquired in Texas and Oklahoma.
    
    
The number of new cases per year is not known with certainty. For cutaneous leishmaniasis, estimates of the number of cases range from approximately 0.7 million (700,000) to 1.2 million (1,200,000). For visceral leishmaniasis, estimates of the number of cases range from approximately 0.2 million (200,000) to 0.4 million (400,000). The cases of leishmaniasis evaluated in the United States reflect travel and immigration patterns. For example, many of the cases of cutaneous leishmaniasis in U.S. civilian travelers have been acquired in common tourist destinations in Latin America, such as in Costa Rica.
    
Overall, infection in people is caused by more than 20 species (types) of Leishmania parasites, which are spread by about 30 species of phlebotomine sand flies; particular species of the parasite are spread by particular sand flies. The sand fly vectors generally are the most active during twilight, evening, and night-time hours (from dusk to dawn).
    
In many geographic areas where leishmaniasis is found in people, infected people are not needed to maintain the transmission cycle of the parasite in nature; infected animals (such as rodents or dogs), along with sand flies, maintain the cycle. However, in some parts of the world, infected people are needed to maintain the cycle; this type of transmission (human—sand fly—human) is called anthroponotic. In areas with anthroponotic transmission, effective treatment of individual patients can help control the spread of the parasite.",risk parasite leishmaniasis,leishmaniasis found people focal area country tropic subtropics southern europe ecologic setting range rain forest desert leishmaniasis usually common rural urban area found outskirt city climate environmental change potential expand geographic range sand fly vector area world leishmaniasis found leishmaniasis found every continent except australia antarctica old world eastern hemisphere leishmaniasis found part asia middle east africa particularly tropical region north africa case elsewhere southern europe found australia pacific island new world western hemisphere found part mexico central america south america found chile uruguay occasional case cutaneous leishmaniasis acquired texas oklahoma number new case per year known certainty cutaneous leishmaniasis estimate number case range approximately million million visceral leishmaniasis estimate number case range approximately million million case leishmaniasis evaluated united state reflect travel immigration pattern example many case cutaneous leishmaniasis civilian traveler acquired common tourist destination latin america costa rica overall infection people caused specie type leishmania parasite spread specie phlebotomine sand fly particular specie parasite spread particular sand fly sand fly vector generally active twilight evening night time hour dusk dawn many geographic area leishmaniasis found people infected people needed maintain transmission cycle parasite nature infected animal rodent dog along sand fly maintain cycle however part world infected people needed maintain cycle type transmission human sand fly human called anthroponotic area anthroponotic transmission effective treatment individual patient help control spread parasite
exams and tests,How to diagnose Parasites - Leishmaniasis ?,"Various laboratory methods can be used to diagnose leishmaniasis—to detect the parasite as well as to identify the Leishmania species (type). Some of the methods are available only in reference laboratories. In the United States, CDC staff can assist with the testing for leishmaniasis.
    
Tissue specimens—such as from skin sores (for cutaneous leishmaniasis) or from bone marrow (for visceral leishmaniasis)—can be examined for the parasite under a microscope, in special cultures, and in other ways. Blood tests that detect antibody (an immune response) to the parasite can be helpful for cases of visceral leishmaniasis; tests to look for the parasite itself usually also are done.
    
More on: Resources for Health Professionals: Diagnosis",diagnose parasite leishmaniasis,various laboratory method used diagnose leishmaniasis detect parasite well identify leishmania specie type method available reference laboratory united state cdc staff assist testing leishmaniasis tissue specimen skin sore cutaneous leishmaniasis bone marrow visceral leishmaniasis examined parasite microscope special culture way blood test detect antibody immune response parasite helpful case visceral leishmaniasis test look parasite usually also done resource health professional diagnosis
treatment,What are the treatments for Parasites - Leishmaniasis ?,"Before considering treatment, the first step is to make sure the diagnosis is correct.
    
Treatment decisions should be individualized. Health care providers may consult CDC staff about the relative merits of various approaches. Examples of factors to consider include the form of leishmaniasis, the Leishmania species that caused it, the potential severity of the case, and the patient's underlying health.
    
The skin sores of cutaneous leishmaniasis usually heal on their own, even without treatment. But this can take months or even years, and the sores can leave ugly scars. Another potential concern applies to some (not all) types of the parasite found in parts of Latin America: certain types might spread from the skin and cause sores in the mucous membranes of the nose (most common location), mouth, or throat (mucosal leishmaniasis). Mucosal leishmaniasis might not be noticed until years after the original sores healed. The best way to prevent mucosal leishmaniasis is to ensure adequate treatment of the cutaneous infection.
    
If not treated, severe (advanced) cases of visceral leishmaniasis typically are fatal.
    
More on: Resources for Health Professionals: Treatment",treatment parasite leishmaniasis,considering treatment first step make sure diagnosis correct treatment decision individualized health care provider may consult cdc staff relative merit various approach example factor consider include form leishmaniasis leishmania specie caused potential severity case patient underlying health skin sore cutaneous leishmaniasis usually heal even without treatment take month even year sore leave ugly scar another potential concern applies type parasite found part latin america certain type might spread skin cause sore mucous membrane nose common location mouth throat mucosal leishmaniasis mucosal leishmaniasis might noticed year original sore healed best way prevent mucosal leishmaniasis ensure adequate treatment cutaneous infection treated severe advanced case visceral leishmaniasis typically fatal resource health professional treatment
prevention,How to prevent Parasites - Leishmaniasis ?,"No vaccines or drugs to prevent infection are available. The best way for travelers to prevent infection is to protect themselves from sand fly bites. To decrease the risk of being bitten, follow these preventive measures:
    
Avoid outdoor activities, especially from dusk to dawn, when sand flies generally are the most active.
    
When outdoors (or in unprotected quarters):
    
     - Minimize the amount of exposed (uncovered) skin. To the extent that is tolerable in the climate, wear long-sleeved shirts, long pants, and socks; and tuck your shirt into your pants. (See below about wearing insecticide-treated clothing.)
     - Apply insect repellent to exposed skin and under the ends of sleeves and pant legs. Follow the instructions on the label of the repellent. The most effective repellents generally are those that contain the chemical DEET (N,N-diethylmetatoluamide).
    
    
     
       
       
        
         
          
         
        
        
        
      
     
    
    
When indoors:
    
     - Stay in well-screened or air-conditioned areas.
     - Keep in mind that sand flies are much smaller than mosquitoes and therefore can get through smaller holes.
     - Spray living/sleeping areas with an insecticide to kill insects.
     - If you are not sleeping in a well-screened or air-conditioned area, use a bed net and tuck it under your mattress. If possible, use a bed net that has been soaked in or sprayed with a pyrethroid-containing insecticide. The same treatment can be applied to screens, curtains, sheets, and clothing (clothing should be retreated after five washings).
    
    
More on: Insect Bite Prevention",prevent parasite leishmaniasis,vaccine drug prevent infection available best way traveler prevent infection protect sand fly bite decrease risk bitten follow preventive measure avoid outdoor activity especially dusk dawn sand fly generally active outdoors unprotected quarter minimize amount exposed uncovered skin extent tolerable climate wear long sleeved shirt long pant sock tuck shirt pant see wearing insecticide treated clothing apply insect repellent exposed skin end sleeve pant leg follow instruction label repellent effective repellent generally contain chemical deet diethylmetatoluamide indoors stay well screened air conditioned area keep mind sand fly much smaller mosquito therefore get smaller hole spray living sleeping area insecticide kill insect sleeping well screened air conditioned area use bed net tuck mattress possible use bed net soaked sprayed pyrethroid containing insecticide treatment applied screen curtain sheet clothing clothing retreated five washing insect bite prevention
information,What is (are) Parasites - Toxoplasmosis (Toxoplasma infection) ?,"A single-celled parasite called Toxoplasma gondii causes a disease known as toxoplasmosis. While the parasite is found throughout the world, more than 60 million people in the United States may be infected with the Toxoplasma parasite. Of those who are infected, very few have symptoms because a healthy person’s immune system usually keeps the parasite from causing illness. However, pregnant women and individuals who have compromised immune systems should be cautious; for them, a Toxoplasma infection could cause serious health problems.",parasite toxoplasmosis toxoplasma infection,single celled parasite called toxoplasma gondii cause disease known toxoplasmosis parasite found throughout world million people united state may infected toxoplasma parasite infected symptom healthy person immune system usually keep parasite causing illness however pregnant woman individual compromised immune system cautious toxoplasma infection could cause serious health problem
susceptibility,Who is at risk for Parasites - Toxoplasmosis (Toxoplasma infection)? ?,"Toxoplasmosis is caused by the protozoan parasite Toxoplasma gondii. In the United States it is estimated that 22.5% of the population 12 years and older have been infected with Toxoplasma. In various places throughout the world, it has been shown that up to 95% of some populations have been infected with Toxoplasma. Infection is often highest in areas of the world that have hot, humid climates and lower altitudes. 
    
Toxoplasmosis is not passed from person-to-person, except in instances of mother-to-child (congenital) transmission and blood transfusion or organ transplantation. People typically become infected by three principal routes of transmission. 
         
     
     
       
      
     
    
      
    Foodborne transmission 
    
The tissue form of the parasite (a microscopic cyst consisting of bradyzoites) can be transmitted to humans by food. People become infected by: 
     
     - Eating undercooked, contaminated meat (especially pork, lamb, and venison) 
     - Accidental ingestion of undercooked, contaminated meat after handling it and not washing hands thoroughly (Toxoplasma cannot be absorbed through intact skin) 
     - Eating food that was contaminated by knives, utensils, cutting boards, or other foods that had contact with raw, contaminated meat 
     
    
      
    Animal-to-human (zoonotic) transmission 
    
Cats play an important role in the spread of toxoplasmosis. They become infected by eating infected rodents, birds, or other small animals. The parasite is then passed in the cat's feces in an oocyst form, which is microscopic. 
    
Kittens and cats can shed millions of oocysts in their feces for as long as 3 weeks after infection. Mature cats are less likely to shed Toxoplasma if they have been previously infected. A Toxoplasma-infected cat that is shedding the parasite in its feces contaminates the litter box. If the cat is allowed outside, it can contaminate the soil or water in the environment as well. 
     
       
      
     
    
People can accidentally swallow the oocyst form of the parasite. People can be infected by: 
     
     - Accidental ingestion of oocysts after cleaning a cat's litter box when the cat has shed Toxoplasma in its feces 
     - Accidental ingestion of oocysts after touching or ingesting anything that has come into contact with a cat's feces that contain Toxoplasma 
     - Accidental ingestion of oocysts in contaminated soil (e.g., not washing hands after gardening or eating unwashed fruits or vegetables from a garden) 
     - Drinking water contaminated with the Toxoplasma parasite 
     
    
      
    Mother-to-child (congenital) transmission 
    
A woman who is newly infected with Toxoplasma during pregnancy can pass the infection to her unborn child (congenital infection). The woman may not have symptoms, but there can be severe consequences for the unborn child, such as diseases of the nervous system and eyes. 
    
      
    Rare instances of transmission 
    
Organ transplant recipients can become infected by receiving an organ from a Toxoplasma-positive donor. Rarely, people can also become infected by receiving infected blood via transfusion. Laboratory workers who handle infected blood can also acquire infection through accidental inoculation.",risk parasite toxoplasmosis toxoplasma infection,toxoplasmosis caused protozoan parasite toxoplasma gondii united state estimated population year older infected toxoplasma various place throughout world shown population infected toxoplasma infection often highest area world hot humid climate lower altitude toxoplasmosis passed person person except instance mother child congenital transmission blood transfusion organ transplantation people typically become infected three principal route transmission foodborne transmission tissue form parasite microscopic cyst consisting bradyzoites transmitted human food people become infected eating undercooked contaminated meat especially pork lamb venison accidental ingestion undercooked contaminated meat handling washing hand thoroughly toxoplasma absorbed intact skin eating food contaminated knife utensil cutting board food contact raw contaminated meat animal human zoonotic transmission cat play important role spread toxoplasmosis become infected eating infected rodent bird small animal parasite passed cat feces oocyst form microscopic kitten cat shed million oocysts feces long week infection mature cat less likely shed toxoplasma previously infected toxoplasma infected cat shedding parasite feces contaminates litter box cat allowed outside contaminate soil water environment well people accidentally swallow oocyst form parasite people infected accidental ingestion oocysts cleaning cat litter box cat shed toxoplasma feces accidental ingestion oocysts touching ingesting anything come contact cat feces contain toxoplasma accidental ingestion oocysts contaminated soil washing hand gardening eating unwashed fruit vegetable garden drinking water contaminated toxoplasma parasite mother child congenital transmission woman newly infected toxoplasma pregnancy pas infection unborn child congenital infection woman may symptom severe consequence unborn child disease nervous system eye rare instance transmission organ transplant recipient become infected receiving organ toxoplasma positive donor rarely people also become infected receiving infected blood via transfusion laboratory worker handle infected blood also acquire infection accidental inoculation
exams and tests,How to diagnose Parasites - Toxoplasmosis (Toxoplasma infection) ?,"The diagnosis of toxoplasmosis is typically made by serologic testing. A test that measures immunoglobulin G (IgG) is used to determine if a person has been infected. If it is necessary to try to estimate the time of infection, which is of particular importance for pregnant women, a test which measures immunoglobulin M (IgM) is also used along with other tests such as an avidity test.
    
Diagnosis can be made by direct observation of the parasite in stained tissue sections, cerebrospinal fluid (CSF), or other biopsy material. These techniques are used less frequently because of the difficulty of obtaining these specimens.
    
Parasites can also be isolated from blood or other body fluids (for example, CSF) but this process can be difficult and requires considerable time.
    
Molecular techniques that can detect the parasite's DNA in the amniotic fluid can be useful in cases of possible mother-to-child (congenital) transmission.
    
Ocular disease is diagnosed based on the appearance of the lesions in the eye, symptoms, course of disease, and often serologic testing.",diagnose parasite toxoplasmosis toxoplasma infection,diagnosis toxoplasmosis typically made serologic testing test measure immunoglobulin igg used determine person infected necessary try estimate time infection particular importance pregnant woman test measure immunoglobulin igm also used along test avidity test diagnosis made direct observation parasite stained tissue section cerebrospinal fluid csf biopsy material technique used less frequently difficulty obtaining specimen parasite also isolated blood body fluid example csf process difficult requires considerable time molecular technique detect parasite dna amniotic fluid useful case possible mother child congenital transmission ocular disease diagnosed based appearance lesion eye symptom course disease often serologic testing
